"","symbol","C51","C84","C83","C91","C34","C89","NC1","NC5","NC9","NC11","NC23","NC24"
"3948","CYP1A1",6,8,4,3,0,1,0,1,6,1,6,2
"3949","CYP1A2",16.32,6.17,6.05,2.37,1.72,9.9,18.1,9.17,4.66,9.35,3.54,11.67
"3950","CYP1B1",2615,6933,4577,1134,2480,1403,594,1920,639,1797,1171,1369
"3951","CYP20A1",588.62,354.73,344.47,537.55,406.49,330.2,435.7,387.32,704.83,495.01,408.81,527.95
"3952","CYP21A2",14,6.96,16.42,7.42,6,5,26.07,50.83,8.81,11.14,18.69,18.79
"3953","CYP24A1",0,0,0,3,2,0,0,0,14,0,7,1
"3954","CYP26A1",5,5,1,0,1,0,0,4,0,2,1,1
"3955","CYP26B1",0,51,51,0,0,52,0,0,61,168,0,1
"3956","CYP26C1",0,0,0,0,0,0,0,0,0,0,0,0
"3957","CYP27A1",2669,2182,2111,917,1666,946,2137,527,1283,1509,1287,2096
"3958","CYP27B1",6,2,8,4,1,4,2,1,7,4,4,4
"3959","CYP27C1",2.63,1,2.14,2.83,1.47,3.32,1.17,1.12,0.91,3.49,4.58,4.07
"3960","CYP2A13",0,0,0,0,0,0,0,0,0,0,0,0
"3961","CYP2A6",1,0,0,0,0,1,0,0,1,0,0,0
"3962","CYP2A7",2,0,0,0,2,3,0,0,0,0,0,0
"3963","CYP2B6",3,3,4.01,8.8,0,1,0,2,1,2.99,3,9.01
"3964","CYP2C18",0,0,0,0,0,0,0,1,0,4,0,0
"3965","CYP2C19",1.07,1.88,3.89,5.01,0,3.19,4.52,7.02,1.17,5.34,0,1.01
"3966","CYP2C8",3,0,6,6,1,5,2,0,2,1,3,4
"3967","CYP2C9",12.26,7.17,12.9,9.63,17.48,15.59,37.93,15.8,7.16,9.25,10.94,20.57
"3968","CYP2D6",29.63,10.23,26.15,78.06,53.78,27.71,38.06,34.44,72.28,21.73,40.64,77.49
"3969","CYP2D7",66.37,62.96,34.22,64.94,40.4,70.29,120.94,38.56,61.75,62.4,120.36,105.51
"3970","CYP2E1",5,0,3,20,5,5,23,6,20,11,6,19
"3971","CYP2F1",0,1,3,3,0,1,2,2,1,3,0,0
"3972","CYP2J2",5,0,2,16,1,0,9,1,16,11,2,8
"3973","CYP2R1",257.05,134,212,268,159.66,106,309,260,372.52,211.05,167.17,282.03
"3974","CYP2S1",64,13,74,49,60,48,129,66,67,113,104,123
"3975","CYP2U1",130,34,61,125,81,44,81,51,212,168,79,167
"3976","CYP2W1",2.82,0,0,0,0,1.97,1,0,0,0.9,1.76,1.13
"3977","CYP39A1",0,0,0,2,0,0,0,0,0,0,0,0
"3978","CYP3A4",0,0,0,0,0,1.16,0,0,0,0,0,0
"3979","CYP3A43",1,0,0,0,3,1,1.22,0,0,2,1,0
"3980","CYP3A5",19.13,0,10.68,9.16,15.91,4.95,4.12,0,32.43,8.67,10.47,14.24
"3981","CYP3A7",0,0,0,0,0,0,0,0,1,0,1,0
"3982","CYP3A7-CYP3A51P",0,0,0,0,0,0,0,0,0,0,0,0
"3983","CYP46A1",0,0,0,2,0,0,1,0,2,1,1,1
"3984","CYP4A11",6,2,2,0,2,3,0,1,3,4,4,2
"3985","CYP4A22",0,0,0,0,0,0,2,0,0,0,0,1
"3986","CYP4B1",1,0,1,1,1,0,1,0,8,2,0,0
"3987","CYP4F11",1.29,0,0,2,0.99,0,0,0,0,0,0,0
"3988","CYP4F12",40,52,15,105,70,41.11,176,20,168.12,125.06,55,49.06
"3989","CYP4F2",12.96,0,1.04,0,4.89,8.15,2.13,0,0,0,1.51,4.57
"3990","CYP4F22",99,21,12,80,6,16,84,96,96,164,90,25
"3991","CYP4F3",5279.73,1783.19,4431.63,4990.36,7884.57,7688.79,1899.06,2682.85,3584.4,6094.85,3465.78,5141.36
"3992","CYP4F8",0,0,0,1,0,1,1,0,1,0,0,0
"3993","CYP4V2",487.67,227.76,493.27,412.17,388.12,156.53,389.61,241.37,736.37,468.77,313.53,474.85
"3994","CYP4X1",0,0,1,0,1,0,0,1,1,0,0,0
"3995","CYP4Z1",0,0,0,0,0,0,0,0,0,0,0,0
"3996","CYP51A1",605.97,235.41,374.1,191.33,356.14,186.7,160.26,248.19,408.47,392.7,191.77,219.14
"3997","CYP7A1",2,0,4,0,2,6,1,0,1,0,1,0
"3998","CYP7B1",2,19.01,1,14,25.02,5.83,17.29,6.01,37.59,33.02,3.02,16.33
"3999","CYP8B1",1.49,1,2.5,0,0,2.05,2.34,1.52,0,0,3.21,1.01
"4000","CYREN",940.04,652.88,672.96,629.74,751.54,666.39,555.96,622.29,867.04,912.54,585.52,756.67
"4001","CYRIA",5777,3320,2131,2389,4017,4101,2114,2257,2421,3571,2274,3257
"4002","CYRIB",12419,10715,7462,9318,10795,13744,4678,8116,9156,15552,7998,11825
"4003","CYS1",6,1,1,1,0,0,0,0,2,8,1,0
"4004","CYSLTR1",1279,1900,1054,893,1159,797,395,656,1582,1460,509,1087
"4005","CYSLTR2",120,283,143,368,476,103,261,70,399,547,131,234
"4006","CYSRT1",3,1,1,2,0,0,2,1,0,0,5,1
"4007","CYSTM1",1774,3982,2313,2113,1151,2084,2200,12094,1422,4683,5507,1777
"4008","CYTH1",6365,4923,5636,8043,6809,4537,6468,5665,9580,9022,8577,8141
"4009","CYTH2",1324.29,697.08,929.66,1387.71,992.93,1062.35,1049.34,683.2,1193.08,1697.07,1185.98,1353.69
"4010","CYTH3",248.21,170.09,158.16,262.01,146,128.52,124.82,119.71,187.19,251.55,111.56,282.01
"4011","CYTH4",18737,17319,11444,16977,14248,14821,23514,29041,17868,29836,40198,22457
"4012","CYTIP",8026,4489,4159,6417,6746,6530,3317,3095,6758,7140,3721,7079
"4013","CYTL1",28,18,8,19,2,3,19,9,28,10,11,4
"4014","CYYR1",119,57,17,12,20,11,12,39,14,20,3,17
"4015","CZIB",869.17,657.4,589.75,757.62,424,444,782.85,609.77,982.81,865.49,741.21,887.36
"4016","D2HGDH",69,83,88,156,42,44,242,116,136,157,276,148
"4017","DAAM1",195.97,76,130.17,130,201.23,126,75,108.06,218,170.01,117.07,119.01
"4018","DAAM2",855.14,601.36,54.4,180.67,626.46,1878.04,4.51,105.84,7.38,59.97,15.19,260.36
"4019","DAB1",16.5,19.6,25.38,22.59,25.67,15.78,37.39,24.43,37.67,14.34,21.97,23.5
"4020","DAB2",764,230,503,228,299,253,267,263,341,525,184,247
"4021","DAB2IP",6,2,6,7,2,1,11,1,4,9,4,5
"4022","DACH1",299,258,121,107,121,144,54,173,99,242,20,78
"4023","DACH2",0,0,0,0,0,0,0,0,0,0,0,0
"4024","DACT1",54,60,14,82,99,12,128,4,259,91,43,70
"4025","DACT2",0,0,0,0,0,0,0,0,0,0,0,0
"4026","DACT3",11,1,0,2,2,1,4,0,4,10,4,3
"4027","DAD1",3445,2274,2547,2734,1935,1556,1845,1701,2471,2699,2079,2361
"4028","DAG1",443,153,244,243.36,202,165.04,163,166.29,361,315.55,199,278.57
"4029","DAGLA",62,5,28,20,15,21,43,24,44,61,58,74
"4030","DAGLB",853,562,623,689,424,323,961,795,697,896,1043,1011
"4031","DALRD3",686.78,485.03,360.89,556.81,338.03,240.7,590.36,683.27,567,651.14,700.98,565.24
"4032","DAND5",16.18,9.17,8.35,11.25,11.44,8.73,7.24,5.95,7.36,10.81,11.99,13.19
"4033","DAO",0,0,0,0,0,0,0,0,0,0,0,0
"4034","DAOA",0,0,0,0,0,0,0,0,0,0,0,0
"4035","DAP",3406,2166,1755,1961,1654,1365,1445,1168,1670,2332,1555,2441
"4036","DAP3",2337.73,1688.01,1482.02,2204.01,1649.85,1236.08,1840,1107.07,2784.34,2265.5,1562.3,2450.72
"4037","DAPK1",1612,766,536,536,950,1538,650,531,640,1297,745,879
"4038","DAPK2",2230.67,1564.07,801.76,1407.83,1592.15,1483.82,879.39,841.04,764.04,1315.38,1073.02,1407.71
"4039","DAPK3",487,300,318,382,201,198,418,436,362,520,843,437
"4040","DAPL1",0,0,0,0,0,0,0,0,0,0,0,0
"4041","DAPP1",5174.14,4090.92,3452.54,2748.87,5154.97,3717.29,1880.45,2965.18,5207.53,7268.89,4280.18,3351.27
"4042","DARS1",970,706,620,1094,729,610,1062,378,1458,957,438,961
"4043","DARS2",233,178,163,144,157,119,109,143,297,223,112,165
"4044","DAW1",0,1,0,0,0,0,0,0,1,0,0,0
"4045","DAXX",2868,1894,1836,2413,1473,1133,2197,1780.32,2665,2395,2604,2595
"4046","DAZ1",0,0,0,0,0,0,0,0,0,0,0,0
"4047","DAZ2",0,0,0,0,0,0,0,0,0,0,0,0
"4048","DAZ3",0,0,0,0,0,0,0,0,0,0,0,0
"4049","DAZ4",0,0,0,0,0,0,0,0,0,0,0,0
"4050","DAZAP1",869,732,859,1092,607,361,1236,800,1365,1358,1243,1236
"4051","DAZAP2",30357.52,23941,14883,20909.44,20939,20036,16622,19960,22212,31373,18338,26679
"4052","DAZL",0,0,0,3,1,0,0,0,0,3,0,0
"4053","DBF4",199,146,151,201,157,78.98,96,69,300.71,171.99,106,210
"4054","DBF4B",64,42,37,25,48,32,30,32,92,54,31,48
"4055","DBH",0,0,0,2,1,0,1,0,18,2,1,5
"4056","DBI",3653,3837,2737,2345,2000,873,2250,3063,3612,3819,2794,2444
"4057","DBN1",277,135,430,515,237,180,351,334,395,415,840.12,493
"4058","DBNDD1",8.03,10,1.16,34,16,5.08,65,7,85,52,60,67
"4059","DBNDD2",372,191,271,268,207,144,273,161,264,348,242,290
"4060","DBNL",8378.24,6263.54,5208.76,5749.43,6290.29,5926.48,7076.7,11263.02,6138.4,10141.59,11023.51,8396.59
"4061","DBP",171.14,92.01,85.56,244.95,50.48,35.69,312.05,82.21,210.2,144.62,208.35,193.29
"4062","DBR1",493.86,350.49,289.99,387.01,306.57,202.93,220.9,195.73,524,431.65,203.16,331.61
"4063","DBT",330.08,166.59,248.74,265.03,270.47,193.22,120.18,96.84,406.54,247.39,128.34,183.2
"4064","DBX1",0,0,0,0,0,0,0,0,0,0,0,0
"4065","DBX2",0,0,0,0,0,0,0,0,0,0,0,0
"4066","DCAF1",467.91,215.31,311.95,386.71,346.88,270.72,270.98,222.2,784.09,390.78,219.19,460.23
"4067","DCAF10",796.74,526.54,687.5,450.03,639.95,592.83,364.44,406.55,711.57,595.28,446.42,523.59
"4068","DCAF11",3909.79,3402.99,2973.97,2794.95,2532.55,1821.6,2662.14,3781.73,4403.09,4233.6,3754.11,3208.76
"4069","DCAF12",2924,1609,1725,1732,4803,2828,1094,1133,2200,2606,1054,1359
"4070","DCAF12L1",0,0,0,0,0,0,0,0,0,0,0,0
"4071","DCAF12L2",0,0,0,0,0,0,0,0,0,0,0,0
"4072","DCAF13",564,441,477,487,465,238,320,277,671,587,347,562
"4073","DCAF15",806,467,446,678,387,309,686,461,677,794,1238,662
"4074","DCAF16",305.85,191.07,248.07,465.87,311.29,254.71,300.44,162.24,710.01,342.58,181.1,390.18
"4075","DCAF17",315,166,180,263,331,206,141,94,484,281,83,280
"4076","DCAF4",76,52,84,229.94,83,64.49,161,142,285,119,98,213
"4077","DCAF4L1",37,59,18,23,57,70.03,23,21,18,31,55.01,38
"4078","DCAF4L2",0,0,0,0,0,0,0,0,0,0,0,0
"4079","DCAF5",2211,1216,1674,1438,1530,1316,903,1086,2291,1717,1138,1706
"4080","DCAF6",1710,848,989,764,991,717,552,808,1073,1175,652,876
"4081","DCAF7",2470.29,1367.23,1438.78,1596.12,1742.37,1368.48,993.74,856.88,2105.85,2163.26,925.91,1656.14
"4082","DCAF8",2507,1758,1523,2223,1886,1841,2127,1417,2663,2335,1555,2466
"4083","DCAF8L1",0,0,0,0,0,0,0,0,0,0,0,0
"4084","DCAF8L2",0,0,3.17,0,0,0,0,0,2,0,0,0
"4085","DCAKD",269.41,200.02,186.02,281.9,115.05,101.85,228.7,106.02,291.87,164.48,185.59,239.54
"4086","DCANP1",1.19,1.85,2.81,38.78,0,2.47,28.57,11.63,16.25,26.33,1.47,57.76
"4087","DCBLD1",109.02,40,101.03,155,91.01,29,69,42,116,71,82,83
"4088","DCBLD2",70,55,45,40,53,57,30,24,64,68,36,94
"4089","DCC",0,1,2,0,1,0,0,0,0,0,0,0
"4090","DCD",0,0,0,0,0,0,0,0,0,0,0,0
"4091","DCDC1",1.89,0,1.29,2.11,1.99,5.09,7.11,0.99,2.01,1,1,4.03
"4092","DCDC2",1.04,0.94,1.01,2.88,0,0,0,0,1,3,1,0
"4093","DCDC2B",14,14,8,4,14,5,14,10,15,22,14,17
"4094","DCDC2C",0,1,0,0,0,0,0,1,0,1,1.27,0
"4095","DCHS1",35,19,25,174,92,39,78,23,244,56,55,134
"4096","DCHS2",1,0,0,0,0,0,1,0,0,1,0,0
"4097","DCK",1423,963,777,1470,1102,878,505,499,1849,1534,606,1356
"4098","DCLK1",0,0,0,0,0,0,0,0,0,0,0,0
"4099","DCLK2",13,2,0,13,3,10,1,3,88,8,3,8
"4100","DCLK3",3,1,0,1,0,0,0,0,1,0,0,0
"4101","DCLRE1A",247,142,246,202,169,107,84,117,280,200,78,108
"4102","DCLRE1B",390.07,176,214,156,173,140,165,132,202,280,165,215
"4103","DCLRE1C",899.38,592.69,639.4,520.69,700.7,509.36,716.53,983.03,502.27,917.83,763.14,851.22
"4104","DCN",0,0,1,0,2,1,2,0,6,0,0,2
"4105","DCP1A",967.48,514.67,640.56,576.53,750.27,539.55,432.14,720.78,857.51,637.84,430.03,524.39
"4106","DCP1B",271,161,213,232,158,80,165,136,392,229,176,238
"4107","DCP2",5333.35,4743.66,2861.32,3435.06,5717.3,5496.7,2548.29,2673.54,3239.92,4448.86,2475.07,3606.46
"4108","DCPS",636.73,466.28,474.12,523.08,362.65,273.09,500.72,325.6,537.41,683.83,659.53,531.88
"4109","DCST1",10,0,3,6,1,2,2,1,0,3,2,6
"4110","DCST2",41,30,14,35,11,15,31,25,23,15,15,28
"4111","DCSTAMP",6,0,0,3,0,2,4,4,1,10,0,0
"4112","DCT",0,2,1,6,5,6,1,0,8,9,5,3
"4113","DCTD",852,533,931,911,593,407,520,356,1281,884,482,948
"4114","DCTN1",3633,2086,2098,2204,1488,1375,2260,2616,2812,3222,3353,2727
"4115","DCTN2",3729.18,2661.32,2251.62,2170.37,1598.25,1276.51,2435.43,3417.8,2171.2,2890.48,2703.08,2443.66
"4116","DCTN3",1433,1127,979,1130,500,437,1296,1444,940,1263,2057,1080
"4117","DCTN4",1538.85,1088.16,973.42,927.41,1050.18,1203.14,622.15,931.44,1056.27,1289.59,745.02,1012.85
"4118","DCTN5",1897.23,1455.71,1222.65,1507.87,1371.13,802.34,1205.87,1236.29,1613.27,1325.25,916.87,1683.65
"4119","DCTN6",465,337,402,349,266,164,225,211,398,382,216,330
"4120","DCTPP1",445,351,317,419,208,101,460,331,499,381,392,325
"4121","DCUN1D1",1578,991,867,1036,1424,1476,632,702,1095,1391,668,1337
"4122","DCUN1D2",308.55,217.12,181.64,243.91,177.17,173.7,255.78,179.79,257.62,273.33,267.14,295.14
"4123","DCUN1D3",236,215,290,170,227,224,114,150,232,256,109,153
"4124","DCUN1D4",380,213,254,483,290,248,330,202,595,356,232,392
"4125","DCUN1D5",402.22,349,328,359,277,191.91,366,385,457,343.01,390,388.99
"4126","DCX",0.98,1,0,0,0,2.87,1,0,0,0.16,0,1.04
"4127","DCXR",478,402,417,772,230,153,930,1108.2,597,562,1072.15,551
"4128","DDA1",693.01,499.3,582.32,692.52,385.71,304,698.18,541.69,733.7,861.01,1019.32,753.96
"4129","DDAH1",4,0,0,2,2,1,0,3,8,1,0,5
"4130","DDAH2",793,1375,1070,624,386,378,808,1499,760,892,3170,697
"4131","DDB1",3871,2170,1957,2485,2096,1436,2599,2058,3905,3123,2236,3012
"4132","DDB2",709,766,767,573,296,322,739,749,1093,794,879,524
"4133","DDC",0,0,0,0,0,0,0,0,0,0,0,0
"4134","DDHD1",511.67,419,612.68,522,557.85,326.58,282,250,913.84,495.08,368,461.18
"4135","DDHD2",474,240,265,471,434,263,311,191,905,339,194,522
"4136","DDI1",0,0,0,0,0,0,0,0,0,0,0,0
"4137","DDI2",738.11,322.02,471.73,488.3,645.89,426.99,478.84,330.53,718.31,486.01,308.27,468.27
"4138","DDIAS",197,213,220,88,210,96,57,130,131,210,140,141
"4139","DDIT3",2292.63,1413,2208.09,1598,2328,2189,2068,2189.96,1671.58,1775,2358.75,3808.76
"4140","DDIT4",585,763,1170,773,734,1802,517,942,280,392,389,977
"4141","DDIT4L",9,12,16,4,3,5,0,5,6,8,0,2
"4142","DDN",7,1,5,0,2,5,2,0,5,6,0,1
"4143","DDO",51,41,66,4,49,11,13,22,29,65,26,35
"4144","DDOST",4225.41,3003.94,3656.33,2940.7,2502.3,1704,2424.58,2033.25,4059.52,4462.58,2947.65,3680.66
"4145","DDR1",33,27,58,133,78,34,111,31,177,49,74,140
"4146","DDR2",9,4,12,5,13,5,2,8,10,6,1,5
"4147","DDRGK1",433,426,498,476,221,143,645,571,423,579,819,577
"4148","DDT",357.69,273.54,218.09,255.8,191.02,95.65,576.18,287.08,305.9,341.02,543.48,406.49
"4149","DDTL",210.31,120.46,104.91,218.2,79.97,65.35,126.82,152.92,180.1,204.98,94.48,119.42
"4150","DDX1",1318,806,963,1151,1079,490,862,727,1662,1395,768,1190
"4151","DDX10",201,117,195,274,177,123,222,158,494,245,185,309
"4152","DDX11",603,351,432,949,226,135,655,327,1291,753,671,735
"4153","DDX17",17545,12608,12264,12648,16122,18945,10402,8641,17793,14838,8912,16067
"4154","DDX18",1498,675,1036,1167,1165,882,556,459,2153,1314,552,1280
"4155","DDX19A",611.58,374,481.39,560.15,457.98,313.64,413.59,261.09,795.14,599.43,373.33,619.46
"4156","DDX19B",776.89,436.1,432.61,461,309.92,285.43,500.47,463.96,721.87,686.36,552.5,645.72
"4157","DDX20",563,316,343,504,352,256,253,236,686,477,284,529
"4158","DDX21",1775,941,966,1160,1627,1483,554,494,2213,1791,653,1429
"4159","DDX23",3274,2308,2710,2716,2178,1330,2236,2038,3343,3432,2237,2945
"4160","DDX24",2718.94,1353.51,1950.95,2131.91,1443.88,826.99,2041.96,1409.91,3792.97,2204.97,1586.94,2263.95
"4161","DDX25",4.86,0,4.06,0,2.13,3.06,0,2.72,2.48,1.03,5.54,8.03
"4162","DDX27",1191,649,824,1026,706,520,1029,682,1585,1059,789,1489
"4163","DDX28",581,381,260,540,216,146,608,466,492,550,524,529
"4164","DDX31",168.08,68.42,100.26,200.03,104.07,42.01,165.64,66.67,260.02,152,123.62,203.02
"4165","DDX39A",981,867,774,1117,504,376,1456,969,1216,1065,1257,1269
"4166","DDX39B",6143,4628,4268,5858,3863,3246,7443,5787,6577,6056,6046,6367
"4167","DDX3X",18293.01,13353,10256,11489.01,28724.01,29400,7145,7223,18666,16077,8206,19741
"4168","DDX3Y",0,0,0,0,0,0,0,0,0,8,0,0
"4169","DDX4",0,1,0,0,0,0,0,0,0,0,0,2
"4170","DDX41",1342,1057,973,1076,608,551,1366,976,1326,1397,1572,1448
"4171","DDX42",2445,1604,1508,1891,1749,1742,1556,1408,3066,2545,1426,2321
"4172","DDX43",6,3,6,15,16,27,16,5,49,64,38,26
"4173","DDX46",1864.44,1096.47,935.37,1141.74,1519.86,1567.45,799.2,741.04,1970.4,1406.6,714.82,1563.35
"4174","DDX47",783,507,522,803,543,297,613,403,1151,834,538,788
"4175","DDX49",499,459,410,410,205,134,568,564,478,626,1032,590
"4176","DDX5",24884,16106,22400,24034,32789,29645,16487,13849,29892,28711,14889,38412
"4177","DDX50",970,729,726,1073,714,424,640,541,1394,992,650,1073
"4178","DDX51",341.23,183.3,291.16,486.44,210.16,174.9,466,282.17,632.57,360.85,408.3,558.02
"4179","DDX52",509.43,398.43,550.22,418.91,472.93,337.66,273.6,331.63,565.69,583.01,242.14,437.96
"4180","DDX53",0,1,0,0,0,0,0,0,0,0,0,0
"4181","DDX54",369,297,348,413.66,190.9,113,542.6,355.6,570,458.75,871.03,539.85
"4182","DDX55",268.58,165.56,254.17,440.51,249.52,161.28,240.93,135.75,575.69,362.52,213.94,431.41
"4183","DDX56",1018,666,901,1090,510,415,1276,839,1416,1096,1333,1323
"4184","DDX58",3315,3431,8480,2217,3950,3365,1836,3430.98,9164.92,5327.03,4801,2786
"4185","DDX59",985.79,800,658.76,523.63,888.64,655.18,405.08,627.26,894.34,996.71,594.51,789.2
"4186","DDX6",5521.28,3545,3180.59,5107,5565,4608.3,2788,2750,6139,4595,2520.06,4912.13
"4187","DDX60",1528,1829,5561,620,1783.44,994.11,174,1425,4802.84,2232,1487,661.18
"4188","DDX60L",6744,4611,11496.43,2283.03,7336.53,9054.19,1589.06,6322.18,9497.16,9790.35,5889.14,3734.83
"4189","DEAF1",288,291,320,471,188,167,411,263,456.01,516,681,454
"4190","DECR1",3053,2399,2306,2112,1643,1204,2188,2703,2418,3021,2906.99,2421
"4191","DECR2",39,23,34,35,6,8,82,37,48,42,143,38
"4192","DEDD",2079.22,1524.95,1543.65,1279.96,1184.71,1330.42,1063.31,1057.82,1358.18,1682.84,1269.82,1536.94
"4193","DEDD2",3946,3334,2819,3240,2367,2402,3741,3583,3444,4589,5665,4640
"4194","DEF6",3762,4533,3598,4265,2029,1902,5486,5397,3806,4755,7479,4720
"4195","DEF8",5963,4730,3337,4967,4253,4494,3969,2662,3538,6072,4639,6337
"4196","DEFA1",50335.78,3977.42,6537.21,1208.25,1063.22,3954.32,267.12,1857.31,650.65,821.27,276.01,710.51
"4197","DEFA1B",135702.82,47124.49,18857.55,10000.22,13036.54,11430.49,2159.72,6378.04,4575.38,8242.79,510.07,4691.63
"4198","DEFA3",13410.4,14731.09,10774.25,6748.53,2635.24,3258.18,484.15,3060.66,1810.97,1222.94,614.92,1570.86
"4199","DEFA4",8396,2199,566,393,406,755,37,150,93,166,28,137
"4200","DEFA5",1,2,0,1,0,2,0,0,0,0,0,0
"4201","DEFA6",0,0,0,0,0,0,0,0,0,0,0,0
"4202","DEFB1",2,3,31,0,2,0,0,1,0,2,0,4
"4203","DEFB103A",0,0,0,0,0,0,0,0,0,0,0,0
"4204","DEFB103B",0,0,0,0,0,0,0,0,0,0,0,0
"4205","DEFB104A",0,0,0,0,0,0,0,0,0,0,0,0
"4206","DEFB104B",0,0,0,0,0,0,0,0,0,0,0,0
"4207","DEFB105A",0,0,0,0,0,0,0,0,0,0,0,0
"4208","DEFB105B",0,0,0,0,0,0,0,0,0,0,0,0
"4209","DEFB106A",0,0,0,0,0,0,0,0,0,0,0,0
"4210","DEFB106B",0,0,0,0,0,0,0,0,0,0,0,0
"4211","DEFB107A",0,0,0,0,0,0,0,0,0,0,0,0
"4212","DEFB107B",0,0,0,0,0,0,0,0,0,0,0,0
"4213","DEFB108B",0,0,0,0,0,0,0,0,0,0,0,0
"4214","DEFB109B",0,0,0,0,0,0,0,0,1,0,2,1
"4215","DEFB110",0,0,0,0,0,0,0,0,0,0,0,0
"4216","DEFB112",0,0,0,0,0,0,0,0,0,0,0,0
"4217","DEFB113",0,0,0,0,0,0,0,0,0,0,0,0
"4218","DEFB114",0,0,0,0,0,0,0,0,0,0,0,0
"4219","DEFB115",0,0,0,0,0,0,0,0,0,0,0,0
"4220","DEFB116",0,0,0,0,0,0,0,0,0,0,0,0
"4221","DEFB118",0,0,0,0,0,0,0,0,0,0,0,0
"4222","DEFB119",0,0,0,0,0,0,0,0,0,0,0,0
"4223","DEFB121",0,0,0,0,0,0,0,0,0,0,0,0
"4224","DEFB123",0,0,0,0,0,0,0,0,0,0,0,0
"4225","DEFB124",0,0,0,0,0,0,0,0,0,0,0,0
"4226","DEFB125",0,0,0,0,0,0,0,0,0,0,0,0
"4227","DEFB126",0,0,0,0,0,0,0,0,0,0,0,0
"4228","DEFB127",0,0,0,0,0,0,0,0,0,0,0,0
"4229","DEFB128",0,0,0,0,0,0,0,0,0,0,0,0
"4230","DEFB129",0,0,0,0,0,0,0,0,0,0,0,0
"4231","DEFB130A",0,0,0,0,0,0,0,0,0.5,0,0,0
"4232","DEFB130B",0,0,0,0,0,0,0,0,0.5,0,0,0
"4233","DEFB131A",0,0,0,0,0,0,0,0,0,0,0,0
"4234","DEFB131B",0,0,0,0,0,0,0,0,0,0,0,0
"4235","DEFB132",0,0,0,0,0,0,0,0,0,0,0,0
"4236","DEFB134",0,0,0,0,0,0,0,0,0,0,0,0
"4237","DEFB135",0,0,0,0,0,0,0,0,0,0,0,0
"4238","DEFB136",0,0,0,0,0,0,0,0,0,0,0,0
"4239","DEFB4A",0,0,0,0,0,0,0,0,0,0,0,0
"4240","DEFB4B",0,0,0,0,0,0,0,0,0,0,0,0
"4241","DEGS1",2068.44,1775.42,1620.68,1530.13,1453.61,1222.58,802.39,1010.08,2322.91,2747.6,1393.86,1691.38
"4242","DEGS2",1.02,3.05,10.28,10.26,3.02,3.02,12.46,5.21,27.34,6.11,3.17,4.08
"4243","DEK",4015,3476,3066,2667,3250,3285,1379,2067,3726,4063,2130,2966
"4244","DELE1",1439,958,811,1144,847,792,1149,682,1324,1504,1093,2149
"4245","DENND10",3615.01,3020,2378.05,2468,2210,3493,1490,1893,2524,3980,1541,2606
"4246","DENND11",529,257,258,762,858,435,455,172,1854,582,251,813
"4247","DENND1A",1077.91,834.96,762.23,551,610.11,546.91,868,1337.94,790.19,1460.49,1657.89,931.86
"4248","DENND1B",499,513,499,328,518,306,202,357,602,562,301,282
"4249","DENND1C",2500,1651,1778,1892,977,1021,2922,2475,2501,2268,2850,2676
"4250","DENND2A",24.87,19.5,23.06,31.6,21.4,57.24,33.08,26.67,19.81,22.52,31.44,34.07
"4251","DENND2B",38,10,5,23,13,12,5,7,17,7,4,12
"4252","DENND2C",111.96,25.51,56.38,45.32,43.17,45.1,32.19,60.03,53.97,48.62,31.37,30.53
"4253","DENND2D",1939,1337,2570,3336,1377,802,1876,1335,3044,2002,1245,2225
"4254","DENND3",10080,6480,6039,5272,7723,10746,4223,5502,6095,9409,7067,7157
"4255","DENND4A",1289.18,556.33,829.93,785.92,1193.89,579.42,519.59,605.06,1383.98,1048.91,647.08,786.29
"4256","DENND4B",3083,2769,3023,3122,2272,2533,2837,2360,3458,3831,2913,3897
"4257","DENND4C",845,404.11,664.11,592.59,920.51,695.11,282.03,330.56,1137.32,584.97,240.72,594.63
"4258","DENND5A",9578,6040,5575,5705,8410,10272,3076,4040,7437,9137,4935,8532
"4259","DENND5B",76.22,15.7,58.36,58.28,165.31,59.43,54.99,26.79,147.25,48.35,29.47,87.8
"4260","DENND6A",992.33,558.75,596.28,774.85,753.69,672.47,467.98,742.62,847.34,1053.54,534.68,883.3
"4261","DENND6B",123.49,86.9,114.21,107.75,55.51,52.37,335.31,212.31,137.06,246.81,373.69,118.23
"4262","DENR",1609.68,1157.77,1149.05,1376.06,1264.25,970.44,1066.12,970.56,1580.16,1559.46,999.05,1480.79
"4263","DEPDC1",59,32,24,3,16,12,0,3,8,3,5,6
"4264","DEPDC1B",75,63,34,9,36,10,3,7,13,16,3,18
"4265","DEPDC4",6.65,2,7.97,6.38,2,10.08,5.17,7.02,7.21,9,10.32,6.16
"4266","DEPDC5",442.05,304.69,294.65,270.9,264.25,212.32,329.17,161.96,627.85,404.04,229.36,324.78
"4267","DEPDC7",15,28,7,29,22,12,25,1,45,23,13,35
"4268","DEPP1",51,24,51,5,24,26,16,15,22,28,15,4
"4269","DEPTOR",29,1,10,13,19,12,12,6,25,17,8,15
"4270","DERA",883,471,451,385,454,368,259,345,431,692,348,428
"4271","DERL1",1569,1085,1321,1418,1152,629,1064,1198,1725,1647,1161,1331
"4272","DERL2",1320.9,1178.05,1044.06,1267,843.82,728.32,1369,1553,1266.8,1453.96,1225.26,1284.79
