"","symbol","C51","C84","C83","C91","C34","C89","NC1","NC5","NC9","NC11","NC23","NC24"
"12313","PI16",16,141,19,133,25,10,111,94,200,74,180,148
"12314","PI3",2241,10677,177,4871,2223,1164,8866,8545,6820,5832,4850,3614
"12315","PI4K2A",909,356,380,495,384,287,419,357,612,593,452,548
"12316","PI4K2B",532,444,557,385,426,188,175,250,691,494,267,327
"12317","PI4KA",2810,1268,1481,1594,1615,1754,1339,945,2336,1892,1564,2108
"12318","PI4KB",3724.7,2256.58,2093.6,2631.01,2320.33,2054.12,2993.14,2881.63,3091.51,3469.67,3198.49,3523.51
"12319","PIANP",3,5,7,18,2,4,14,2,28,7,8,18
"12320","PIAS1",4028.91,2555.7,2335.55,2056.52,3892.82,4207.78,1311.42,1851.63,3217.35,3765.78,1643.58,2901.4
"12321","PIAS2",492.67,409.27,218.56,291.54,713.12,533.02,248.95,133.87,363.88,285.72,124.9,350.92
"12322","PIAS3",409.19,333.34,343.74,342.81,290.03,213.02,179.62,172.78,375.84,376.17,212.17,311.06
"12323","PIAS4",289,231,222,215,202,112,205,176,269,286,514,274
"12324","PIBF1",282,152,180,208,235,156,123,105,350,271,119,266
"12325","PICALM",15704,10686,7423,9001,18324,13350,5127,6755,8869,11911,6246,11059
"12326","PICK1",259,162,147,243,162,265,308,312,313,314,321,377
"12327","PID1",523,49,55,333,155,126,451,65,295,502,144,351
"12328","PIDD1",43,62,69,112,28,25,159,99,146,113,313,167
"12329","PIEZO1",950,544,714,819,486,410,1156.67,841,1326,1266,1853.72,1216
"12330","PIEZO2",0,0,0,0,0,0,0,0,2,0,0,1
"12331","PIF1",54,56,74,26,12,15,4,60,24,28,23,30
"12332","PIFO",0,2,6,8,2,0,5,0,9,1,0,2
"12333","PIGA",286,186,195,191,219,261,134,139,307,265,108,233
"12334","PIGB",912.9,623.79,591.35,762.51,1049.55,286.99,830.89,380.16,779.35,754.58,582.83,777.28
"12335","PIGBOS1",432.94,424.5,505.45,495.58,275.98,358.38,373.29,471.41,526.21,532.4,521.37,568.65
"12336","PIGC",840,518,574,646,473,362,493,430,969,714,386,634
"12337","PIGF",548.68,447.69,482.64,428.63,462.53,332.93,327.96,251.04,384.03,592.41,318.73,446.77
"12338","PIGG",601,519,496,509,554,472,509,343,769,593,485,690
"12339","PIGH",396.81,252.89,329.6,397.91,202.96,163.98,240.78,253.98,378.92,342.9,287,345.94
"12340","PIGK",571,552,431,588,458,412,254,373,837,682,233,562
"12341","PIGL",56,28,32,60,45,41,84,20,70,31,46,67
"12342","PIGM",299.11,191.18,229.01,330.05,206.54,235.15,281.36,203.1,391.02,350.55,191.39,272.67
"12343","PIGN",382.42,235.64,213.58,264.22,268.97,212.8,115.58,115.21,379.75,298.28,154.18,184.11
"12344","PIGO",317,210,246,252,204,148,171,147,498,330,199,296
"12345","PIGP",147,60,112,135,129,37,101,92,199,148,107,194
"12346","PIGQ",161,152,139,244,70,68,369,223,213,296,731,248
"12347","PIGR",4.03,1.65,4.9,5.82,7.15,21.33,7.8,6.12,289.29,4.06,14.17,10
"12348","PIGS",2226,1498,1484,1551,1113.81,981.03,1425,1419,1690,2085,1480,1569
"12349","PIGT",1718,1009,1118,1021,599,524,1329,1613,1267,1622,2190,1453
"12350","PIGU",310,196,226,290,156,48,313,286,382,240,302,284
